Date, value
"01/12/2015 17:24","10450"
"04/12/2015 12:07","10425"
"07/12/2015 03:01","10525"
"09/12/2015 16:01","10400"
"11/12/2015 22:07","10275"
"14/12/2015 11:10","10375"
"16/12/2015 18:06","10325"
"19/12/2015 07:56","10275"
"21/12/2015 22:34","10325"
"24/12/2015 16:49","10475"
"27/12/2015 05:31","10375"
"29/12/2015 17:10","10425"
"28/06/2016 12:34","9975"
"01/07/2016 05:43","10325"
"03/07/2016 22:27","10150"
"06/07/2016 17:02","10175"
"09/07/2016 14:33","10100"
"12/07/2016 07:07","5225"
"15/07/2016 06:35","5000"
"17/07/2016 21:40","5037.5"
"20/07/2016 18:29","5012.5"
"23/07/2016 20:04","5012.5"
"26/07/2016 22:18","5025"
"29/07/2016 21:02","5037.5"
"01/03/2017 21:21","4987.5"
"04/03/2017 13:35","5000"
"07/03/2017 10:12","5050"
"10/03/2017 03:27","5012.5"
"12/03/2017 16:07","5000"
"15/03/2017 11:33","5062.5"
"18/03/2017 02:14","5037.5"
"20/03/2017 17:04","5012.5"
"23/03/2017 11:26","5025"
"26/03/2017 00:50","4987.5"
"28/03/2017 14:47","5012.5"
"31/03/2017 10:51","5100"
"02/10/2018 08:28","5000"
"05/10/2018 03:58","5012.5"
"08/10/2018 04:52","5025"
"11/10/2018 02:42","5000"
"13/10/2018 21:35","5025"
"16/10/2018 20:04","5000"
"19/10/2018 17:28","5012.5"
"22/10/2018 10:47","5012.5"
"25/10/2018 12:07","4987.5"
"28/10/2018 07:44","5012.5"
"30/10/2018 23:53","5000"
"02/11/2018 14:55","5000"
"01/12/2019 18:09","5037.5"
"04/12/2019 10:42","5000"
"07/12/2019 02:16","4987.5"
"09/12/2019 17:29","5012.5"
"12/12/2019 13:36","4987.5"
"15/12/2019 09:07","5012.5"
"18/12/2019 04:07","5000"
"20/12/2019 19:56","5025"
"23/12/2019 04:22","5000"
"26/12/2019 05:16","4987.5"
"28/12/2019 19:40","5050"
"31/12/2019 09:51","5000"
"02/01/2020 23:21","5000"
"05/01/2020 09:52","5025"
"07/01/2020 22:44","5012.5"
"10/01/2020 14:52","5012.5"
"13/01/2020 04:20","5012.5"
"15/01/2020 22:33","4987.5"
"18/01/2020 12:17","4987.5"
"21/01/2020 22:24","6362.5"
"24/01/2020 12:16","5037.5"
"27/01/2020 03:42","5000"
"29/01/2020 22:22","4987.5"
"01/02/2020 12:44","5012.5"
