Value,Date
3281261.0,2015
2356008.0,2015
2736460.0,2015
2568757.0,2015
2383759.0,2015
2303209.0,2015
2663808.0,2015
2887235.0,2015
2354058.0,2015
2482535.0,2015
3371837.0,2015
3773815.0,2015
4329114.0,2016
3851192.0,2016
4415216.0,2016
4242941.0,2016
4555066.0,2016
2800563.0,2016
3379962.0,2016
3052386.0,2016
2866813.0,2016
3072300.0,2016
3663158.0,2016
3807923.0,2016
4976973.0,2017
4944951.0,2017
6171059.0,2017
5412918.0,2017
7104959.0,2017
12184195.0,2017
12260015.0,2017
13622573.0,2017
24582253.0,2017
21957715.0,2017
33916153.0,2017
55972444.0,2017
68284950.0,2018
45959987.0,2018
55028719.0,2018
34219950.0,2018
45822921.0,2018
37704946.0,2018
32001563.0,2018
38211427.0,2018
35871424.0,2018
33024004.0,2018
31884938.0,2018
21069936.0,2018
19357129.0,2019
17434950.0,2019
19244789.0,2019
41779989.0,2019
20735905.0,2019
27074785.0,2019
42819959.0,2019
53179536.0,2019
51994963.0,2019
48658122.0,2019
