Value,Date
38547600000.0,2015
41512800000.0,2015
39536000000.0,2015
42501200000.0,2015
40524400000.0,2015
40524400000.0,2015
41512800000.0,2015
39536000000.0,2015
41512800000.0,2015
39536000000.0,2015
37559200000.0,2015
34594000000.0,2015
35582400000.0,2016
32617200000.0,2016
33605600000.0,2016
33605600000.0,2016
33605600000.0,2016
36570800000.0,2016
37559200000.0,2016
35582400000.0,2016
50408400000.0,2016
55350400000.0,2016
66222800000.0,2016
48431600000.0,2016
52385200000.0,2017
48431600000.0,2017
40524400000.0,2017
41512800000.0,2017
40524400000.0,2017
38547600000.0,2017
42501200000.0,2017
42501200000.0,2017
46454800000.0,2017
45466400000.0,2017
50408400000.0,2017
55350400000.0,2017
49420000000.0,2018
52385200000.0,2018
55350400000.0,2018
49420000000.0,2018
53373600000.0,2018
53373600000.0,2018
56338800000.0,2018
60292400000.0,2018
66222800000.0,2018
63257600000.0,2018
61280800000.0,2018
63257600000.0,2018
61280800000.0,2019
49420000000.0,2019
43489600000.0,2019
42501200000.0,2019
40524400000.0,2019
38547600000.0,2019
40524400000.0,2019
38547600000.0,2019
36570800000.0,2019
36570800000.0,2019
