Monthbeginning,Price
69,42.18
69,43.53
69,39.95
69,41.12
69,43.5
69,46.4
69,58.03
69,48.43
69,46.47
69,51.41
69,50.88
69,50.27
69,50.82
69,47.96
69,47.36
69,48.32
69,46.83
69,46.15
69,43.54
69,42.17
69,49.1
69,45.64
69,45.91
69,43.79
69,42.24
69,42.71
69,41.21
69,43.39
69,47.6
69,49.0
69,49.76
69,49.96
69,51.44
69,62.9
69,51.3
69,48.89
69,47.31
69,48.73
69,47.31
69,49.63
69,48.22
69,53.05
69,50.81
69,47.67
69,45.15
69,44.41
69,41.77
69,39.62
69,36.67
69,35.46
69,37.95
69,43.28
69,44.81
69,48.43
69,43.96
2015,39.86
2015,42.86
2015,40.91
2015,43.97
2015,41.21
2015,41.66
2015,42.2
2015,40.86
2015,42.04
2015,40.29
2015,38.01
2015,35.07
2016,36.95
2016,33.85
2016,34.76
2016,34.37
2016,34.61
2016,37.51
2016,38.4
2016,36.51
2016,51.13
2016,56.03
2016,67.54
2016,49.87
2017,53.37
2017,49.49
2017,41.99
2017,42.1
2017,41.24
2017,39.68
2017,43.05
2017,43.34
2017,47.17
2017,46.68
2017,51.45
2017,56.18
2018,50.84
2018,53.68
2018,56.79
2018,50.74
2018,54.25
2018,54.0
2018,57.61
2018,61.94
2018,67.69
2018,64.76
2018,62.19
2018,64.32
2019,62.55
2019,50.27
2019,44.96
2019,43.87
2019,41.35
2019,39.4
2019,41.86
2019,39.62
2019,37.32
2019,37.74
